N;beta;Lesion;Power
50;-0.15;1;0.0515
75;-0.15;1;0.0525
100;-0.15;1;0.05
120;-0.15;1;0.0535
50;-0.2;1;0.0565
75;-0.2;1;0.054
100;-0.2;1;0.0465
120;-0.2;1;0.059
50;-0.3;1;0.061
75;-0.3;1;0.0425
100;-0.3;1;0.0625
120;-0.3;1;0.0735
50;-0.15;2;0.047
75;-0.15;2;0.049
100;-0.15;2;0.051
120;-0.15;2;0.06
50;-0.2;2;0.0505
75;-0.2;2;0.0525
100;-0.2;2;0.0505
120;-0.2;2;0.0585
50;-0.3;2;0.0565
75;-0.3;2;0.0615
100;-0.3;2;0.063
120;-0.3;2;0.0675
50;-0.15;3;0.0575
75;-0.15;3;0.046
100;-0.15;3;0.0485
120;-0.15;3;0.045
50;-0.2;3;0.0495
75;-0.2;3;0.0495
100;-0.2;3;0.0495
120;-0.2;3;0.057
50;-0.3;3;0.061
75;-0.3;3;0.0455
100;-0.3;3;0.063
120;-0.3;3;0.074
50;-0.15;4;0.0465
75;-0.15;4;0.048
100;-0.15;4;0.0535
120;-0.15;4;0.0615
50;-0.2;4;0.055
75;-0.2;4;0.055
100;-0.2;4;0.05
120;-0.2;4;0.056
50;-0.3;4;0.061
75;-0.3;4;0.0605
100;-0.3;4;0.063
120;-0.3;4;0.0625
50;-0.15;5;0.0385
75;-0.15;5;0.052
100;-0.15;5;0.047
120;-0.15;5;0.0515
50;-0.2;5;0.0625
75;-0.2;5;0.0565
100;-0.2;5;0.069
120;-0.2;5;0.059
50;-0.3;5;0.063
75;-0.3;5;0.055
100;-0.3;5;0.063
120;-0.3;5;0.073
50;-0.15;6;0.0525
75;-0.15;6;0.0465
100;-0.15;6;0.057
120;-0.15;6;0.053
50;-0.2;6;0.053
75;-0.2;6;0.0465
100;-0.2;6;0.054
120;-0.2;6;0.0495
50;-0.3;6;0.0605
75;-0.3;6;0.0575
100;-0.3;6;0.0625
120;-0.3;6;0.0645
50;-0.15;7;0.0445
75;-0.15;7;0.046
100;-0.15;7;0.0475
120;-0.15;7;0.0515
50;-0.2;7;0.0465
75;-0.2;7;0.0495
100;-0.2;7;0.049
120;-0.2;7;0.063
50;-0.3;7;0.0515
75;-0.3;7;0.057
100;-0.3;7;0.0575
120;-0.3;7;0.0615
50;-0.15;8;0.0545
75;-0.15;8;0.058
100;-0.15;8;0.05
120;-0.15;8;0.0495
50;-0.2;8;0.05
75;-0.2;8;0.043
100;-0.2;8;0.054
120;-0.2;8;0.06
50;-0.3;8;0.0465
75;-0.3;8;0.0625
100;-0.3;8;0.0765
120;-0.3;8;0.068
50;-0.15;9;0.054
75;-0.15;9;0.059
100;-0.15;9;0.0505
120;-0.15;9;0.056
50;-0.2;9;0.05
75;-0.2;9;0.0575
100;-0.2;9;0.047
120;-0.2;9;0.063
50;-0.3;9;0.0565
75;-0.3;9;0.0505
100;-0.3;9;0.0705
120;-0.3;9;0.07
50;-0.15;10;0.0495
75;-0.15;10;0.0465
100;-0.15;10;0.053
120;-0.15;10;0.044
50;-0.2;10;0.056
75;-0.2;10;0.053
100;-0.2;10;0.0495
120;-0.2;10;0.0515
50;-0.3;10;0.0535
75;-0.3;10;0.063
100;-0.3;10;0.062
120;-0.3;10;0.055
50;-0.15;11;0.055
75;-0.15;11;0.0435
100;-0.15;11;0.0495
120;-0.15;11;0.047
50;-0.2;11;0.0635
75;-0.2;11;0.052
100;-0.2;11;0.064
120;-0.2;11;0.061
50;-0.3;11;0.0595
75;-0.3;11;0.0615
100;-0.3;11;0.0595
120;-0.3;11;0.0645
50;-0.15;12;0.056
75;-0.15;12;0.0355
100;-0.15;12;0.057
120;-0.15;12;0.042
50;-0.2;12;0.059
75;-0.2;12;0.0495
100;-0.2;12;0.0505
120;-0.2;12;0.0605
50;-0.3;12;0.0535
75;-0.3;12;0.065
100;-0.3;12;0.0715
120;-0.3;12;0.068
