N;f2;Lesion;Power
50;0.02;1;0.048
75;0.02;1;0.049
100;0.02;1;0.0475
120;0.02;1;0.0535
50;0.08;1;0.049
75;0.08;1;0.0655
100;0.08;1;0.0495
120;0.08;1;0.064
50;0.25;1;0.074
75;0.25;1;0.065
100;0.25;1;0.077
120;0.25;1;0.075
50;0.02;2;0.0455
75;0.02;2;0.0485
100;0.02;2;0.058
120;0.02;2;0.057
50;0.08;2;0.059
75;0.08;2;0.057
100;0.08;2;0.06
120;0.08;2;0.0675
50;0.25;2;0.0625
75;0.25;2;0.0615
100;0.25;2;0.083
120;0.25;2;0.084
50;0.02;3;0.054
75;0.02;3;0.06
100;0.02;3;0.052
120;0.02;3;0.055
50;0.08;3;0.045
75;0.08;3;0.053
100;0.08;3;0.05
120;0.08;3;0.064
50;0.25;3;0.061
75;0.25;3;0.073
100;0.25;3;0.076
120;0.25;3;0.0705
50;0.02;4;0.0515
75;0.02;4;0.045
100;0.02;4;0.0445
120;0.02;4;0.0535
50;0.08;4;0.0665
75;0.08;4;0.054
100;0.08;4;0.0555
120;0.08;4;0.056
50;0.25;4;0.059
75;0.25;4;0.0685
100;0.25;4;0.081
120;0.25;4;0.081
50;0.02;5;0.0545
75;0.02;5;0.0455
100;0.02;5;0.0535
120;0.02;5;0.0485
50;0.08;5;0.0485
75;0.08;5;0.0675
100;0.08;5;0.055
120;0.08;5;0.0705
50;0.25;5;0.069
75;0.25;5;0.0705
100;0.25;5;0.0835
120;0.25;5;0.071
50;0.02;6;0.0575
75;0.02;6;0.052
100;0.02;6;0.0545
120;0.02;6;0.0585
50;0.08;6;0.0465
75;0.08;6;0.056
100;0.08;6;0.062
120;0.08;6;0.0535
50;0.25;6;0.057
75;0.25;6;0.069
100;0.25;6;0.0685
120;0.25;6;0.082
50;0.02;7;0.0495
75;0.02;7;0.0525
100;0.02;7;0.0575
120;0.02;7;0.049
50;0.08;7;0.045
75;0.08;7;0.05
100;0.08;7;0.062
120;0.08;7;0.044
50;0.25;7;0.057
75;0.25;7;0.062
100;0.25;7;0.0735
120;0.25;7;0.0845
50;0.02;8;0.051
75;0.02;8;0.055
100;0.02;8;0.0575
120;0.02;8;0.051
50;0.08;8;0.047
75;0.08;8;0.063
100;0.08;8;0.062
120;0.08;8;0.058
50;0.25;8;0.0555
75;0.25;8;0.0735
100;0.25;8;0.077
120;0.25;8;0.083
50;0.02;9;0.051
75;0.02;9;0.046
100;0.02;9;0.048
120;0.02;9;0.055
50;0.08;9;0.064
75;0.08;9;0.0555
100;0.08;9;0.058
120;0.08;9;0.067
50;0.25;9;0.0635
75;0.25;9;0.07
100;0.25;9;0.0725
120;0.25;9;0.085
50;0.02;10;0.054
75;0.02;10;0.0435
100;0.02;10;0.0555
120;0.02;10;0.059
50;0.08;10;0.0595
75;0.08;10;0.0665
100;0.08;10;0.0595
120;0.08;10;0.062
50;0.25;10;0.0585
75;0.25;10;0.0615
100;0.25;10;0.0625
120;0.25;10;0.0845
50;0.02;11;0.0525
75;0.02;11;0.054
100;0.02;11;0.0535
120;0.02;11;0.0535
50;0.08;11;0.057
75;0.08;11;0.058
100;0.08;11;0.0615
120;0.08;11;0.0685
50;0.25;11;0.0655
75;0.25;11;0.0625
100;0.25;11;0.0825
120;0.25;11;0.0845
50;0.02;12;0.055
75;0.02;12;0.047
100;0.02;12;0.0535
120;0.02;12;0.0475
50;0.08;12;0.0585
75;0.08;12;0.0495
100;0.08;12;0.051
120;0.08;12;0.064
50;0.25;12;0.059
75;0.25;12;0.066
100;0.25;12;0.0825
120;0.25;12;0.078
