N;beta_injected;median_beta;CI_low;CI_high;true_f2;power;Tract
50;-0.15;-0.114260572725245;-292.082.811.543.879;278.687.624.785.483;0.000225;0.0465;1
50;-0.2;-0.203707249901252;-3.200.841.250.281;261.770.438.445.325;4,00E-04;0.051;1
50;-0.3;-0.257749098718093;-310.167.844.583.331;252.110.909.002.222;9,00E-04;0.047;1
75;-0.15;-0.0807588498268046;-244.473.979.143.459;216.340.099.090.655;0.000225;0.0515;1
75;-0.2;-0.218426524921141;-255.719.244.798.916;217.148.095.694.154;4,00E-04;0.058;1
75;-0.3;-0.317480012989447;-26.122.559.947.877;186.573.188.589.041;9,00E-04;0.057;1
100;-0.15;-0.0967494629913186;-213.464.841.490.086;181.677.126.659.921;0.000225;0.0475;1
100;-0.2;-0.193129873573012;-214.095.423.178.533;179.424.868.881.614;4,00E-04;0.049;1
100;-0.3;-0.325605600035269;-225.338.685.236.019;164.462.620.019.647;9,00E-04;0.0515;1
120;-0.15;-0.164139650584167;-206.775.749.591.042;167.710.329.230.801;0.000225;0.057;1
120;-0.2;-0.199924088426367;-189.826.707.307.798;164.776.635.942.823;4,00E-04;0.048;1
120;-0.3;-0.272365845222739;-212.099.575.598.345;156.070.061.136.507;9,00E-04;0.06;1
50;-0.15;-0.139300905446405;-304.896.832.059.115;26.823.744.670.114;0.000225;0.0535;2
50;-0.2;-0.139359215828388;-313.314.207.860.692;263.372.851.309.515;4,00E-04;0.05;2
50;-0.3;-0.294478458078099;-320.622.660.268.156;261.697.471.450.732;9,00E-04;0.0575;2
75;-0.15;-0.117486988726296;-238.903.430.511.472;226.979.565.475.705;0.000225;0.047;2
75;-0.2;-0.184233262581591;-271.981.677.409.218;217.772.551.703.972;4,00E-04;0.0565;2
75;-0.3;-0.301592129331171;-269.606.529.023.929;198.284.240.180.696;9,00E-04;0.0565;2
100;-0.15;-0.113018055505856;-214.255.028.474.428;178.951.007.528.629;0.000225;0.0435;2
100;-0.2;-0.200714179133124;-219.822.936.608.212;181.678.246.226.194;4,00E-04;0.0535;2
100;-0.3;-0.293882172849839;-230.094.513.540.766;172.307.793.119.684;9,00E-04;0.0635;2
120;-0.15;-0.177248879059047;-187.875.575.674.812;157.854.743.176.375;0.000225;0.0445;2
